file,clean_message
donohoe-t/discussion_threads/137.,"message-id: date: thu, 30 nov 2000 20:50:00 -0800 (pst) enerfax daily's free web version of gas & power prices and info enerfax daily (27).htm mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: ""enerfax energy"" x-to: x-cc: x-bcc: x-folder: \thomas_donohoe_dec2000\notes folders\discussion threads x-origin: donohoe-t x-filename: tdonoho.nsf"
maggi-m/deleted_items/1501.,"message-id: date: mon, 26 nov 2001 08:26:30 -0800 (pst) re: mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- re: your getting confused again -----original message----- re: i hate you! -----original message----- re: anytime -----original message----- re: well thanks for your help charlie brown -----original message----- re: nope and nope -----original message----- did you go work out this morning? do you know an orthodontist in houston?"
kaminski-v/all_documents/5330.,"message-id: date: thu, 6 jul 2000 08:26:00 -0700 (pdt) enron/stanford program mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: nick bambos x-to: x-cc: x-bcc: x-folder: \vincent_kaminski_jun2001_1\notes folders\all documents x-origin: kaminski-v x-filename: vkamins.nsf hello vince, stinson, thank you very much for hosting my visit at enron. i had a very pleasant time there, and i found the meetings very informative. as discussed during my visit at enron, i am sending you below a draft of the letter that would be needed to get the program in place and rolling, and start the students working on it. it took a while to find out what the appropriate process was and how the letter should be structured. sorry for the delay. if i may, i'd like to visit enron again, sometime in august, to define the research agenda more precisely and prioritize the problems to look at. i'm in frequent contact with giuseppe, who is impressed by the environment there. we are trying to formulate the research issues and problems to study, that would be of interest to enron. the plan is this: 1) by august, giuseppe will have been there for almost 2 months and will probably have a relatively good understanding of the enron problem space. 2) i will work together with giuseppe till august to formulate a set of good problems of: a) high practical importance b) high innovation potential c) serious scope. 3) i could visit in august (say mid-august or so) to: a) discuss these problems with you and get your feedback b) prioritize the problems and evaluate their impact c) make sure we're on the same page regarding research strategy and execution path. i hope we can fully set up the program at stanford before then, so that i can bring on board one more ph.d. student to start his doctoral work in this area. i'm all excited about our collaboration. i am even thinking of starting a research seminar at stanford, specifically on these research issues! talk to you soon. best regards, nick ----------------------------------------------------------------------- draft of letter to be sent from enron to stanford. prof. nicholas bambos 420 terman engineering center management science & eng. dept. and electrical engineering department stanford university stanford, ca 94305 dear nick, we are happy to provide gift funds of $100,000 per year, over three years, to support a program in your research group, related to bandwidth markets/trading and networking technologies. enron would like to support research activities in the above mentioned area, including pd.d. student work, research seminars etc. there may also be opportunities to have the supported ph.d. students do summer internships at enron, related to their research interests. please find enclosed a check of $100,000 payable to stanford university for supporting this research effort in your group during the first year. best regards, name and title"
cash-m/deleted_items/446.,"message-id: date: tue, 27 nov 2001 08:23:58 -0800 (pst) re: fw: information request for due diligence mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: x-to: cash, michelle </o=enron/ou=na/cn=recipients/cn=mcash> x-cc: x-bcc: x-folder: \mcash (non-privileged)\cash, michelle\deleted items x-origin: cash-m x-filename: mcash (non-privileged).pst thanks - keep it coming! katie **********note********** the information contained in this email message is intended only for use of the individual or entity named above. if the reader of this message is not the intended recipient, or the employee or agent responsible to deliver it to the intended recipient, you are hereby notified that any dissemination, distribution or copying of this communication is strictly prohibited. if you have received this communication in error, please immediately notify us by telephone (713-546-5000), and destroy the original message. thank you."
dasovich-j/sent_items/537.,"message-id: date: thu, 11 oct 2001 10:47:56 -0700 (pdt) nevada puc acts to change or void long-term pwr contracts mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: dasovich, jeff </o=enron/ou=na/cn=recipients/cn=jdasovic> x-to: calger, christopher f. </o=enron/ou=na/cn=recipients/cn=ccalger>, belden, tim </o=enron/ou=na/cn=recipients/cn=tbelden>, kaufman, paul </o=enron/ou=na/cn=recipients/cn=pkaufma> x-cc: x-bcc: x-folder: \dasovich, jeff (non-privileged)\dasovich, jeff\sent items x-origin: dasovich-j x-filename: dasovich, jeff (non-privileged).pst fyi. nevada puc acts to change or void long-term pwr contracts los angeles -(dow jones)- the nevada public utilities commission wednesday voted to allow its general counsel office to take any action necessary to try to void or renegotiate long-term electricity contracts entered into by the state's two largest utilities, a puc spokeswoman said. the contracts would force sierra pacific resources' (srp) utilities sierra pacific power co. and nevada power co. to pay a higher price for power than current market rates, said don soderberg, puc chairman. ""we paid high prices when the prices were high, but to pay high prices when the prices are low is outrageous,"" soderberg said. no one at sierra pacific or nevada power was available to comment on which companies have signed contracts with the utilities, or the value of the contracts. the puc action follows a letter sent by gov. kenny guinn to the federal energy regulatory commission in early october asking that the utilities be allowed to renegotiate the contracts. the general counsel's office will now have authority to file with ferc and in court to plead against the current contracts. sierra pacific has said that a june ferc order that capped wholesale power prices has penalized the company. sierra pacific signed its forward contracts to escape high spot market prices, only to have those contracts end up being more expensive than the capped spot market prices, the company has said. as well, if the company wants to sell any surplus power into the spot market, it will now receive less for that power under the cap, it has said. california 's public utilities commission is also pushing for renegotiation of $43 billion in long-term contracts signed by the state, which has been buying power on behalf of cash-strapped utilities since january."
mccarty-d/deleted_items/59.,"message-id: date: tue, 23 oct 2001 21:18:29 -0700 (pdt) invitaton: an evening of hope and healing mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: community x-to: all enron <??sall enron x-cc: x-bcc: x-folder: \dmccarty (non-privileged)\mccarty, danny\deleted items x-origin: mccarty-d x-filename: dmccarty (non-privileged).pst you're invited to join community and national experts as they discuss your most pressing concerns about september 11th and the ongoing issues we face as a nation. operation hope: reclaiming our future one step at a time a cooperative community effort to provide a free evening of information, for the entire family (ages 5 and up) an evening of hope and healing and a blueprint on how to adapt to these challenging times! sponsored by enron date: thursday, october 25, 2001 time: registration from 6:15 pm - 6:50 pm program from 7:00 pm - 9:00 pm place: jw marriott across from the galleria on westheimer admission is free, but by rsvp only because of limited space to rsvp and for more information, please call 713-303-3966 or log on to www.enronoperationhope.com"
semperger-c/deleted_items/162.,"message-id: date: wed, 23 jan 2002 06:36:04 -0800 (pst) hey baby. mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: craig vinson x-to: semperger, cara </o=enron/ou=na/cn=recipients/cn=csemper> x-cc: x-bcc: x-folder: \exmerge - semperger, cara\deleted items x-origin: semperger-c x-filename: cara semperger 6-26-02.pst good morning my darling, i hope you slept well despite your dreams. hopefully the doctor will give you some more mecine. i love you so much. i don't know what i'm going to do without you this weekend. i will miss you terribly. i wish we could move tomorrow, i'm so excited to see what our future holds for us and i am so very lucky to have you in my future. by the way, did i tell you that i love you? just in case i didn't... i love you!!!! have a good day sweetheart. i'll see you tonight for dinner. i miss you. craig."
watson-k/sent_items/206.,"message-id: date: tue, 28 aug 2001 08:07:11 -0700 (pdt) contract approval mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: watson, kimberly </o=enron/ou=na/cn=recipients/cn=kwatson> x-to: x-cc: x-bcc: x-folder: \kwatson (non-privileged)\watson, kimberly\sent items x-origin: watson-k x-filename: kwatson (non-privileged).pst steve, we have a contract extension for sempra, 30,000/d from la plata to i/b link extending it from 12/31/01 to 12/31/02. max rate. standard language. i would like to approve this contract in your absence. legal and regulatory have already approved. thanks, kim."
bass-e/_sent_mail/1420.,"message-id: date: thu, 28 dec 2000 01:20:00 -0800 (pst) re: trip to san diego mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- re: trip to san diego my thoughts for the trip: friday: everyone says that you have to see the zoo if you are in san diego. even- if you don't particularly like zoos. everything i read says that it will take at least half a day. i say we hit that friday morning through early afternoon. spend mid-afternoon near the hotel- beach area- suppose to be shopping, etc. near there. then go to the game. when we get back that night- we can walk on the beach! saturday: visit balboa park. see the botanical gardens, in other musuems/gardens in the area that look interesting. if we aren't sick of seeing animals, there is suppose to be a wonderful wild animal park that gives trolley or walking tours (the tours are only like an hour and a half). after that- there is a ferry you can take across the bay to the coronado island to see the hotel del coronado. it is suppose to be a really neat place. then- you we can finish the day in the gaslamp quarter downtown. it is suppose to have a ""lively evening street scene"" and live music. what do you think? let me know- so i can look up times that all of these open- if we are interested. shanna"
kean-s/attachments/1317.,"message-id: date: tue, 6 feb 2001 05:00:00 -0800 (pst) mseb cash flow and tariff after 5 year hiatus cc: mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit bcc: x- latest model/summary jane, attached is the latest summary (hard coded numbers, like i sent before) and the latest cashflow model in case that is required for anything. just to confirm all that has changed are the customer categories and the mu's in 1999-2000."
kaminski-v/all_documents/1249.,"message-id: date: tue, 6 mar 2001 10:05:00 -0800 (pst) re: contract update mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- contract update sheila, some minor differences between the draft and the final executed version. i have forgotten to bring the draft today, i shall send a copy to you tomorrow. there were some hand-written changes made by greg ijn the draft that were not transferred to the final version. vince"
jones-t/all_documents/9514.,"message-id: date: thu, 22 feb 2001 04:33:00 -0800 (pst) re: clickpaper password app. cc: mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit bcc: x- re: clickpaper password app. should clickpaper create the new password ap and insert the language you sent or should we do a letter as an addendum to the password ap? regards, marla thompson -----original message----- clickpaper password app. marla - i appreciate the patience on the password issue. i realize it has been a while since we first spoke about this point. i have reviewed the concern about hackers and enron use of passwords and the best we can do is insert language into the password app. similar to that appearing in the attached document (which is the same type of language used in the eta's). it is intended only to cover the situation where clickpaper personnel use the password or otherwise access the website, in an unauthorized manner, on behalf of a counterparty. the language does not address the hacker situation as we place the burden in that situation upon the counterparty. finally, since the password app. is a legal, electronic agreement, any amendments or modifications for a counterparty must come through my office or through tana jones ((x. 33399). accordingly, those counterparties who have raised the issue should call either one of us if further action is necessary. we do not actually revise the form agreements, but do provide side letters indicating modifications to the form agreement. once again, please accept my apologizes for the delay. let me know if you should need anything further. << file: passwordlanguage(2-01).doc >> mark senior counsel, ena phone: 713-345-8897 facsimile: 713-646-3940 e-mail:"
kaminski-v/deleted_items/791.,"message-id: date: mon, 17 dec 2001 14:04:38 -0800 (pst) attention: changes in remote access mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: enron general x-to: all enron x-cc: x-bcc: x-folder: \vkamins\deleted items x-origin: kaminski-v x-filename: vincent kaminski 1-30-02.pst please be aware that remote connectivity into the enron network has changed, ipass is no longer available. remote connectivity into enron may be obtained by using the econnect solution. authorization to use econnect may be requested via the erequest system (you will find a link to erequest on email is accessible from any computer with internet connectivity by logging into outlook web access with your nt login id and password. accessing owa does not require an econnect connection. please direct all questions or concerns to the resolution center at 713-853-1411 ets customers should direct inquiries to the ets solution center at 713-345-4745 we appreciate your cooperation in advance"
scott-s/discussion_threads/1185.,"message-id: date: mon, 23 oct 2000 09:20:00 -0700 (pdt) sumas deal w/ larry may mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: susan m scott x-to: carlos torres x-cc: x-bcc: x-folder: \susan_scott_dec2000_june2001_2\notes folders\discussion threads x-origin: scott-s x-filename: sscott5.nsf did any of your traders do a deal with larry may at sumas selling half-a-day at +.03?"
symes-k/discussion_threads/74.,"message-id: date: tue, 31 oct 2000 07:58:00 -0800 (pst) ferc report mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: mary hain x-to: portland west desk x-cc: x-bcc: x-folder: \kate symes 6-27-02\notes folders\discussion threads x-origin: symes-k x-filename: kate symes 6-27-02.nsf following the commission meeting tomorrow, the ferc report will be posted on the following web site: jacqueline gallagher research/policy assistant electric power supply association 1401 h street, nw suite 760 washington, dc 20005 202.789.7200 202.789.7201"
mclaughlin-e/all_documents/987.,"message-id: date: sat, 5 may 2001 02:26:00 -0700 (pdt) reliant energy ebill statement mime-version: 1.0 content-type: text/plain; charset=ansi_x3.4-1968 content-transfer-encoding: quoted-printable x-from: x-to: x-cc: x-bcc: x-folder: \errol_mclaughlin_jun2001\notes folders\all documents x-origin: mclaughlin-e x-filename: emclaug.nsf dear september vincent, just a reminder that your current reliant energy hl&p statement is ready for you to review at if you participate in the automatic payment plan (app), your bank account will be automatically drafted for the amount due. remember, with auto pay no action is required to ensure your bill gets paid. if you do not participate in automatic payment plan (app), you can pay your bill immediately or schedule payment for a later date. as with paper bills your payment is due about 2 weeks from the statement date. the online bill replaces your paper bill, a paper copy of your bill will not be sent. should you need to modify your account information, go to log into ebill and select user information. there you can update your information such as your email address, change your password and add accounts. as you use our ebill service, please do not hesitate to provide comments through the contact us section of the site. check out the frequently asked questions section for a quick reference. again, thank you for choosing reliant energy=01,s ebill service. reliant energy ebill customer care _____________________________ in an effort to enhance the security of your ebill transactions, reliant energy is upgrading its systems to offer the highest level of protection possible for all your financial transactions: 128-bit data encryption. to take advantage of this improved security, beginning in june, all ebill users must use an internet browser capable of supporting 128-bit encryption technology. the latest browsers from microsoft and netscape meet this standard and are available for free download using the links below. we apologize for any inconvenience, and we appreciate your support as we work to improve the quality and security of our ebill service. if you have already upgraded, please disregard this message. if you have not already upgraded, please do so prior to june. sincerely, wes hill, reliant energy ebill team microsoft=01,s internet explorer: netscape:"
farmer-d/discussion_threads/1577.,"message-id: date: thu, 29 jun 2000 05:51:00 -0700 (pdt) hr generalist for your group cc: mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit bcc: x-from: hector mcloughlin x-to: brent a price, steve jackson, susan harrison, robert superty, jeffrey c gossett, carrie hollomon, donna greif, diane h cook, edward terry, george smith, katherine l kelly, randall l gay, scotty gilbert, kathryn cordes, bob klein, jefferson d sorenson, bryce baxter, william kelly, brenda f herod, steve venturatos, rita wynne, lisa csikos, michael eiben, mary m smith, daren j farmer, pat clynes, mary solmonson, bill d hare, connie sutton, mary g gosnell, richard c mckeel, carolyn gilley, vanessa schulte, kristin albrecht, leslie reeves, thresa a allen, dan houston, kim s theriot, stacey w white, scott mills, thomas engel, hunaid engineer, russ severson, martha stevens, sheri thomas, dale neuner, jennifer deboisblanc denny, frank l davis, scott earnest, john jacobsen, roy lipsett, eric groves, stephen p schwarz, james scribner, lisa b cousino, melissa white, sheila glover, theresa t brogan, d todd hall, david maxwell, michael e moscoso, eugenio perez, peggy hedstrom, kathy reeves, shona wilson, joel henenberg x-cc: norma villarreal x-bcc: x-folder: \darren_farmer_dec2000\notes folders\discussion threads x-origin: farmer-d x-filename: dfarmer.nsf norma villarreal is the hr generalist for all of brent price's group and hector mcloughlin is the hr generalist for all the other groups/departments under sally beck. toni graham is the recruiter for all of sally beck's group. yvonne laing is the compensation specialist for all of sally beck's group. janet de la paz is the admin. support person for the hr group. i hope this helps you directs your questions or needs for services in the future."
kaminski-v/all_documents/939.,"message-id: date: fri, 23 mar 2001 10:26:00 -0800 (pst) mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: vince j kaminski x-to: x-cc: x-bcc: x-folder: \vincent_kaminski_jun2001_1\notes folders\all documents x-origin: kaminski-v x-filename: vkamins.nsf"
crandell-s/sent_items/14.,"message-id: date: tue, 29 jan 2002 16:47:20 -0800 (pst) cash transactions for feb 1-9 mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: crandall, sean </o=enron/ou=na/cn=recipients/cn=scranda> x-to: thome, stephen </o=enron/ou=na/cn=recipients/cn=sthome> x-cc: x-bcc: x-folder: \exmerge - crandall, sean\sent items x-origin: crandell-s x-filename: steve, please wire $520,800 to aep (same info as tom alonso's) and wire $567,084 to avista (same info that we've been using). this will take care of our northwest book of business for feb 1 through feb 9. i will send you the p&l calculation a little later. thanks sean"
sanders-r/sent/2052.,"message-id: date: fri, 9 jul 1999 06:15:00 -0700 (pdt) nerc--pls review asap mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x- nerc--pls review asap call me asap with your comments 37007!!"
scott-s/sent_items/149.,"message-id: date: mon, 30 apr 2001 11:02:42 -0700 (pdt) re: west desks--ferc authorizes power marketers to purchase from industrials (and more) mime-version: 1.0 content-type: text/plain; charset=us-ascii content-transfer-encoding: 7bit x-from: scott, susan m. </o=enron/ou=na/cn=recipients/cn=sscott5> x-to: scott, susan </o=enron/ou=na/cn=recipients/cn=sscott3> x-cc: x-bcc: x-folder: \sscott5 (non-privileged)\scott, susan m.\sent items x-origin: scott-s x-filename: sscott5 (non-privileged).pst no problem...it makes me feel important."
